participantId,idx,bot_detection,reported_ideology
5AD641172DD8454CB4BACCE679A7EA1E,1,False,-1.4
5AD641172DD8454CB4BACCE679A7EA1E,2,False,1.4
5B5C3D85087A4E16BBF4767641D407C0,0,False,-1.0
5B5C3D85087A4E16BBF4767641D407C0,1,False,0.0
5B5C3D85087A4E16BBF4767641D407C0,2,False,1.0
5B97A2F49B9A4249879238C1E5173672,0,False,-0.9
5B97A2F49B9A4249879238C1E5173672,1,False,-0.4
5B97A2F49B9A4249879238C1E5173672,2,False,1.0
5D494EDDAE23435D93B9FE8A42AC4542,0,False,-0.4
5D494EDDAE23435D93B9FE8A42AC4542,1,False,1.5
5D494EDDAE23435D93B9FE8A42AC4542,2,False,-0.2
5D84E7FEE554447E86288ADD31896E83,0,False,-0.9
5D84E7FEE554447E86288ADD31896E83,1,False,1.8
5D84E7FEE554447E86288ADD31896E83,2,False,1.0
5EB07F35F41340348C10B16E140D41CD,0,False,1.1
5EB07F35F41340348C10B16E140D41CD,1,False,1.1
5EB07F35F41340348C10B16E140D41CD,2,False,1.1
5EE51F753E744CCFB294047E79D3AE52,0,False,1.0
5EE51F753E744CCFB294047E79D3AE52,1,False,2.0
5EE51F753E744CCFB294047E79D3AE52,2,False,-1.0
5F026F06CA5A4400B8DA7A0EFBAB72D5,0,True,0.5
5F026F06CA5A4400B8DA7A0EFBAB72D5,1,False,0.0
5F026F06CA5A4400B8DA7A0EFBAB72D5,2,True,0.5
5F7A839198A043C59933778B2AA76ACC,0,False,0.8
5F7A839198A043C59933778B2AA76ACC,1,False,1.5
5F7A839198A043C59933778B2AA76ACC,2,False,1.0
6092417075EB44E7A6C8B48F9A6CFB4B,0,False,1.1
6092417075EB44E7A6C8B48F9A6CFB4B,1,False,0.7
6092417075EB44E7A6C8B48F9A6CFB4B,2,False,0.9
615CC9830A9E40F1BCAC19540250BF10,0,False,-0.3
615CC9830A9E40F1BCAC19540250BF10,1,False,1.9
615CC9830A9E40F1BCAC19540250BF10,2,False,-0.9
616AF56E726A4531A45234B0AC750A68,0,True,0.0
616AF56E726A4531A45234B0AC750A68,1,False,1.0
616AF56E726A4531A45234B0AC750A68,2,False,0.0
621CE27E3DFC46B7BB7BA417398F918A,0,False,0.0
621CE27E3DFC46B7BB7BA417398F918A,1,False,0.0
621CE27E3DFC46B7BB7BA417398F918A,2,False,0.0
62AA33CD5DF341409E259838FB9FE08C,0,False,0.0
62AA33CD5DF341409E259838FB9FE08C,1,False,0.0
62AA33CD5DF341409E259838FB9FE08C,2,False,0.0
62F845DA81FF4D948AEAC0A541012217,0,False,-0.9
62F845DA81FF4D948AEAC0A541012217,1,False,-2.0
62F845DA81FF4D948AEAC0A541012217,2,False,0.0
6351F748534242D4BFC6E28BB8D8C5A4,0,False,-1.0
6351F748534242D4BFC6E28BB8D8C5A4,1,False,-2.0
6351F748534242D4BFC6E28BB8D8C5A4,2,False,-1.1
63CCB99291884DB49454E28CF01D6FE0,0,False,-0.5
63CCB99291884DB49454E28CF01D6FE0,1,False,-2.0
63CCB99291884DB49454E28CF01D6FE0,2,True,0.4
656A7E7F733E454094A60ABCEA4ED5B1,0,False,1.0
656A7E7F733E454094A60ABCEA4ED5B1,1,False,0.0
656A7E7F733E454094A60ABCEA4ED5B1,2,False,1.0
661CA51D2D484D578EA5B0CE1B7DAE62,0,False,0.0
661CA51D2D484D578EA5B0CE1B7DAE62,1,False,0.0
661CA51D2D484D578EA5B0CE1B7DAE62,2,False,0.0
67F79D2CE9BA4DF9B9A4A09E064F8980,0,False,0.5
67F79D2CE9BA4DF9B9A4A09E064F8980,1,False,0.0
67F79D2CE9BA4DF9B9A4A09E064F8980,2,False,-0.4
6C1964B0357642AD8167B7329869BDF4,0,False,-0.4
6C1964B0357642AD8167B7329869BDF4,1,False,-2.0
6C1964B0357642AD8167B7329869BDF4,2,False,1.0
6DD3F01138B1437F84357DA4197312F9,0,True,0.0
6DD3F01138B1437F84357DA4197312F9,1,False,0.0
6DD3F01138B1437F84357DA4197312F9,2,True,0.0
6E49D30C07F943328B3544D437D78C13,0,False,-0.5
6E49D30C07F943328B3544D437D78C13,1,False,0.4
6E49D30C07F943328B3544D437D78C13,2,False,-0.1
70956CE39E3443C6B0C43FDA1F839A92,0,True,0.0
70956CE39E3443C6B0C43FDA1F839A92,1,False,2.0
70956CE39E3443C6B0C43FDA1F839A92,2,True,-1.0
72B24CAB3612402FA1CE04E6DA551807,0,False,1.0
72B24CAB3612402FA1CE04E6DA551807,1,False,1.0
72B24CAB3612402FA1CE04E6DA551807,2,False,1.0
743207BFEEEB4ADBBBC6804E406096FD,0,False,0.0
743207BFEEEB4ADBBBC6804E406096FD,1,False,0.0
743207BFEEEB4ADBBBC6804E406096FD,2,False,0.0
74901D2ADE564603BE59D28A55952B5C,0,False,0.5
74901D2ADE564603BE59D28A55952B5C,1,False,0.0
74901D2ADE564603BE59D28A55952B5C,2,False,1.0
74AF200637384EC79071D83472997B5B,0,False,-2.0
74AF200637384EC79071D83472997B5B,1,False,-1.0
74AF200637384EC79071D83472997B5B,2,True,0.0
7574B205603B4178A51D9DD33E874DF7,0,False,-0.1
7574B205603B4178A51D9DD33E874DF7,1,False,2.0
7574B205603B4178A51D9DD33E874DF7,2,False,-2.0
75B0842870264A0FAF715863AA8AA62C,0,False,0.0
75B0842870264A0FAF715863AA8AA62C,1,False,0.0
75B0842870264A0FAF715863AA8AA62C,2,False,0.0
75B7E17B71B840568DF71AE43662AD2D,0,True,0.0
75B7E17B71B840568DF71AE43662AD2D,1,False,0.0
75B7E17B71B840568DF71AE43662AD2D,2,False,0.0
77E6F6E7D0B74138BF586EB3C0C186D3,0,True,0.0
77E6F6E7D0B74138BF586EB3C0C186D3,1,False,0.0
77E6F6E7D0B74138BF586EB3C0C186D3,2,True,0.0
784A96937A0F44E1BA55D7971CA37B7A,0,False,0.1
784A96937A0F44E1BA55D7971CA37B7A,1,False,-0.1
784A96937A0F44E1BA55D7971CA37B7A,2,False,0.1
7CC99E8E618C417F96297A4D4D01B3A9,0,False,0.0
7CC99E8E618C417F96297A4D4D01B3A9,1,False,0.0
7CC99E8E618C417F96297A4D4D01B3A9,2,False,0.0
7CF9BDBEF5A8487E9059DF7AEDC12B6A,0,False,-0.5
7CF9BDBEF5A8487E9059DF7AEDC12B6A,1,False,1.0
7CF9BDBEF5A8487E9059DF7AEDC12B6A,2,False,0.7
7D0115E866E04B4DAEB395CF66EE6E93,0,False,1.3
7D0115E866E04B4DAEB395CF66EE6E93,1,False,-0.6
7D0115E866E04B4DAEB395CF66EE6E93,2,False,-0.3
7D0CC43EFF454085A097E314118598BA,0,False,-0.5
7D0CC43EFF454085A097E314118598BA,1,False,-0.8
7D0CC43EFF454085A097E314118598BA,2,False,-0.6
7D2AA6C9DCAB4434A73654D7866D56DA,0,False,0.0
7D2AA6C9DCAB4434A73654D7866D56DA,1,False,0.0
7D2AA6C9DCAB4434A73654D7866D56DA,2,False,0.0
7DD0416DB65047FDAA5BCCEDBDF9B817,0,False,-0.1
7DD0416DB65047FDAA5BCCEDBDF9B817,1,False,0.4
